area,area_url
"Architecture, building, planning and design",https://study.unimelb.edu.au//find/interests/architecture-building-planning-and-design
"Arts, humanities and social sciences",https://study.unimelb.edu.au//find/interests/arts-humanities-and-social-sciences
Business and economics,https://study.unimelb.edu.au//find/interests/business-and-economics
Education,https://study.unimelb.edu.au//find/interests/education
Engineering,https://study.unimelb.edu.au//find/interests/engineering
Environment,https://study.unimelb.edu.au//find/interests/environment
Health,https://study.unimelb.edu.au//find/interests/health
Information technology and computer science,https://study.unimelb.edu.au//find/interests/information-technology-and-computer-science
Law,https://study.unimelb.edu.au//find/interests/law
"Music, visual and performing arts",https://study.unimelb.edu.au//find/interests/music-visual-and-performing-arts
Science,https://study.unimelb.edu.au//find/interests/science
"Veterinary, agricultural and food sciences",https://study.unimelb.edu.au//find/interests/veterinary-agricultural-and-food-sciences
